Date,Region,Place,Trigger,Weak Layer,Depth,Width,Vertical,Aspect,Elevation,Coordinates,Caught,Carried,Buried - Partly,Buried - Fully,Injured,Killed
03/30/2016,Uintas,Weber Canyon,Skier,New Snow/Old Snow Interface,"18""",100,70,Northeast,10100,,,,,,,
03/30/2016,Logan,Tony Grove,Snowboarder,New Snow,"12""",40,100,Northeast,9000,,,,,,,
03/30/2016,Provo,Shingle Mill Canyon,Skier,Density Change,"7""",50,200,East,9100,"40.286229936400, -111.539812132720",,,,,,
03/30/2016,Salt Lake,Depth Hoar Bowl,Skier,,"16""",200,800,North,9800,,,,,,,
03/30/2016,Salt Lake,Mill D North,Skier,,,,,East,8200,"40.659023848678, -111.629925787050",,,,,,
03/29/2016,Logan,Cougar Peak Area,Natural,Density Change,"12""",300,100,North,8600,"41.915387608166, -111.719305545600",,,,,,
03/29/2016,Salt Lake,Pink Pine,,,,,,,,"40.557864778713, -111.692357780520",,,,,,
03/29/2016,Salt Lake,West Monitor,Natural,Density Change,"20""",60,500,Northeast,10000,"40.639141407963, -111.576762244110",,,,,,
03/29/2016,Salt Lake,Lacawaxan,Skier,Density Change,2',200,600,East,10700,"40.592675938606, -111.560411505140",,,,,,
03/29/2016,Salt Lake,Daly Canyon,Natural,,,,,Northeast,7400,"40.623797885605, -111.503763322600",,,,,,
03/29/2016,Salt Lake,Hallway Couloir,Skier,New Snow,"12""",50,1250,Northwest,10300,"40.605742433308, -111.646671347050",,,,,,
03/29/2016,Salt Lake,East Bowl,Skier,New Snow/Old Snow Interface,"8""",50,40,West,9400,"40.603591001006, -111.621222555110",,,,,,
03/29/2016,Salt Lake,Y Coulior,Natural,,,,3000,North,9600,"40.560273687765, -111.726065201120",,,,,,
03/29/2016,Salt Lake,White Pine,Skier,New Snow/Old Snow Interface,"12""",100,200,West,9500,"40.560698484424, -111.676240012040",,,,,,
03/29/2016,Salt Lake,Scotties Bowl,Snowboarder,New Snow/Old Snow Interface,"12""",15,50,North,9700,,,,,,,
03/29/2016,Moab,Moab,Natural,New Snow,2.5',300,400,North,11000,"38.452245060650, -109.264140296010",,,,,,
03/28/2016,Salt Lake,Main Days,Skier,New Snow,"7""",300,600,North,10300,"40.604885886813, -111.643112694080",,,,,,
03/28/2016,Salt Lake,Brighton Perimeter,Natural,Density Change,"8""",350,450,Northwest,10100,"40.590382670774, -111.599378666460",,,,,,
03/28/2016,Salt Lake,Session Mountains,Natural,,,,,Northeast,9100,,,,,,,
03/28/2016,Salt Lake,Days Fork,Skier,New Snow/Old Snow Interface,"8""",40,400,North,10000,,,,,,,
03/26/2016,Salt Lake,Broads Fork,Natural,Ground Interface,3.5',175,1000,Northeast,10000,"40.599095469309, -111.720271176810",,,,,,
03/26/2016,Salt Lake,Monitors,Skier,,,,,,,,,,,,,
03/26/2016,Salt Lake,Deaf Smith,Unknown,,unknown,Unknown,Unknown,Southeast,10000,"40.599975243027, -111.727309278870",1,1,,,,
03/26/2016,Provo,Timpanogos,Hiker,,,,,West,9500,"40.296808757586, -111.588478161800",,,,,,
03/25/2016,Provo,Everest Ridge,Hiker,,,,,Southwest,10000,,1,1,,1,1,
03/24/2016,Salt Lake,Toledo Chutes,Snowboarder,,,,300,Southeast,10000,"40.598020155809, -111.647422372750",1,1,,,,
03/24/2016,Moab,La Sal Mountains,Skier,Facets,"12""",60,250,Northeast,11000,"38.449914920206, -109.260835670820",,,,,,
03/23/2016,Salt Lake,Scotties Bowl,Skier,New Snow,"6""",25,200,North,9500,"40.564508683522, -111.675768007940",,,,,,
03/23/2016,Logan,Boiler Bowl,Natural,New Snow/Old Snow Interface,"20""",80,450,East,9000,"41.940765647541, -111.629633933830",,,,,,
03/23/2016,Salt Lake,Salt Lake,Skier,,"6""",40,150,Southwest,10300,"40.599242144528, -111.646671418930",,,,,,
03/20/2016,Logan,North Wood Camp,Natural,New Snow/Old Snow Interface,2',80,900,Southeast,8000,"41.828244310458, -111.666884459810",,,,,,
03/19/2016,Logan,Castle Rock,Natural,New Snow/Old Snow Interface,3',400,700,North,9500,"41.901936702997, -111.668601073580",,,,,,
03/19/2016,Salt Lake,Toledo Bowl,Skier,New Snow/Old Snow Interface,"4""",15,100,Southwest,9000,"40.596781402611, -111.642937733660",,,,,,
03/19/2016,Salt Lake,Superior,Skier,Wet grains,unknown,Unknown,Unknown,South,Unknown,,,,,,,
03/18/2016,Salt Lake,Reynolds East Face,Unknown,,,,,,10000,,,,,,,
03/18/2016,Logan,White Pine Canyon,Snowmobiler,New Snow/Old Snow Interface,3',300,200,Northeast,8300,"41.928768845938, -111.643967673190",4,4,3,1,1,
03/18/2016,Ogden,Bountiful mountains,Skier,,"14""",80,350,,,,,,,,,
03/18/2016,Logan,Boiler Bowl,Snowmobiler,New Snow/Old Snow Interface,2',80,600,North,9600,"41.946390662669, -111.652851149440",,,,,,
03/17/2016,Salt Lake,South Monitor Bowl,Skier,New Snow/Old Snow Interface,"20""",150,800,Northeast,9900,,,,,,,
03/17/2016,Logan,White Pine Canyon,Snowmobiler,New Snow/Old Snow Interface,3',80,80,Northeast,8100,"41.928804759572, -111.643409766520",1,1,1,,,
03/17/2016,Salt Lake,Depth Hoar Bowl,Natural,New Snow/Old Snow Interface,unknown,250,800,Northeast,9800,,,,,,,
03/17/2016,Logan,Beginner Ridge exit,Snowmobiler,New Snow/Old Snow Interface,3',200,400,North,8400,"41.888389121336, -111.640620283500",,,,,,
03/17/2016,Logan,Shumway Canyon,Natural,,unknown,80,300,Northeast,8400,"41.659445946976, -112.014304252070",,,,,,
03/17/2016,Salt Lake,Broads Fork,,,,,,,,,,,,,,
03/16/2016,Salt Lake,Murdock Peak,Skier,New Snow/Old Snow Interface,"18""",150,100,Northeast,9400,,3,,,,,
03/16/2016,Salt Lake,Cardiac Ridge,Natural,Facets,2',500,1000,Northeast,10600,,,,,,,
03/15/2016,Salt Lake,Main Days,Skier,New Snow/Old Snow Interface,"10""",40,60,Northeast,9200,"40.607201008273, -111.638851484480",1,1,1,,,
03/15/2016,Salt Lake,Figure 8 Hill,Snowboarder,New Snow/Old Snow Interface,"4""",15,10,Northeast,9500,"40.593017613030, -111.604399747350",,,,,,
03/15/2016,Salt Lake,Argenta,Skier,New Snow/Old Snow Interface,"18""",70,150,North,9500,"40.628325978391, -111.672249122130",,,,,,
03/15/2016,Salt Lake,East Couloir,Skier,New Snow/Old Snow Interface,"8""",30,400,East,9900,"40.628040810696, -111.666176371020",,,,,,
03/15/2016,Salt Lake,Hide A Way Park,Skier,New Snow/Old Snow Interface,"14""",50,400,North,9800,,1,1,,,,
03/15/2016,Salt Lake,Two Dogs,Skier,New Snow,"8""",30,10,Northeast,9900,"40.600202835231, -111.639611787290",,,,,,
03-12-16,Logan,Box Canyon Headwall,Natural,New Snow/Old Snow Interface,"12""",45,500,East,9400,"41.962482870025, -111.653301753360",,,,,,
03-10-16,SE Idaho,Franklin Basin,Snowboarder,New Snow,"6""",50,600,East,9400,,,,,,,
03-10-16,Logan,Franklin Basin,Snowboarder,New Snow,"12""",60,800,East,9300,,,,,,,
03-10-16,Logan,Old Logway Canyon,Natural,New Snow/Old Snow Interface,unknown,100,800,East,8500,"41.671729790771, -112.023296393700",,,,,,
03-09-16,Provo,Timpanogos,Skier,New Snow/Old Snow Interface,"12""",40,500,Northeast,10000,,,,,,,
03-09-16,Salt Lake,Maybird Gulch,Skier,New Snow/Old Snow Interface,"4""",80,400,East,10400,"40.546482347163, -111.709284834280",,,,,,
03-09-16,Moab,La Sal Mountains,Skier,Facets,"12""",60,200,Northeast,11000,"38.449514770352, -109.261286296300",1,1,,,1,
03-06-16,Logan,Central Wood Camp Bowls,Natural,Wet grains,unknown,45,350,Northeast,7400,"41.817217863835, -111.675810858610",,,,,,
03-05-16,Salt Lake,Little Cottonwood Canyon,Natural,,,,,North,7500,,,,,,,
02/28/2016,Logan,East Faces-Wellsville Range,Natural,New Snow/Old Snow Interface,unknown,Unknown,Unknown,East,9000,,,,,,,
02/27/2016,Salt Lake,Murdock Pk,Skier,Facets,"6""",40,500,Northeast,9500,,,,,,,
02/24/2016,Salt Lake,West Bowl,Unknown,Ground Interface,3',100,400,North,9900,,,,,,,
02/23/2016,Salt Lake,Coalpit 4,Natural,,,,800,Northeast,,"40.561921127811, -111.742930485730",,,,,,
02/23/2016,Salt Lake,Ivory Chute,Skier,Density Change,"12""",25,500,West,9900,,,,,,,
02/22/2016,Salt Lake,Diving Board,Natural,Ground Interface,5',200,1250,,10400,"40.599673311131, -111.721515685850",,,,,,
02/21/2016,Salt Lake,Mill B South,Natural,Ground Interface,"4""",50,200,Northeast,8400,,,,,,,
02/21/2016,Uintas,Gold Hill,Snowmobiler,Depth Hoar,3.5',100,150,Northwest,10000,"40.812343654415, -110.908447117780",,,,,,
02/20/2016,Salt Lake,Mill B South,Natural,Ground Interface,4',30,50,Northeast,8300,"40.607579378848, -111.702213965240",,,,,,
02/19/2016,Logan,"Providence Peak, East Face",Natural,,,,,East,9500,"41.704115888232, -111.712529226080",,,,,,
02/19/2016,Skyline,Jordan Canyon,Snowmobiler,Facets,2.5',200,500,Northeast,10500,"39.519868239043, -111.293521063270",1,,,,,
02/19/2016,Salt Lake,Great White Icicle,Natural,,"6""",25,250,Northeast,6700,"40.567252679336, -111.763508608900",,,,,,
02/18/2016,Salt Lake,Ferguson Canyon,Natural,,,,,,,"40.612144438334, -111.774930602610",,,,,,
02/18/2016,Salt Lake,Broads Fork,Natural,Ground Interface,2.5',150,500,East,9000,"40.605529699932, -111.719455857110",,,,,,
02/18/2016,Skyline,GE Hill/Skyline Summit,Natural,New Snow,"5""",20,20,Northeast,9800,"39.629272146444, -111.329698600140",,,,,,
02/18/2016,Salt Lake,Mother in Law,Natural,New Snow/Old Snow Interface,unknown,Unknown,200,East,9600,"40.666609172248, -111.602811865240",,,,,,
02/17/2016,Salt Lake,Bonkers,Natural,Ground Interface,3',100,1000,Northeast,9800,"40.604631595483, -111.721665911090",,,,,,
02/16/2016,Logan,Logan River below Temple Fork,Natural,Ground Interface,2',80,800,North,6600,"41.832280449237, -111.592876963060",,,,,,
02/15/2016,Ogden,Hells Canyon,Unknown,,5',15,Unknown,Northeast,7700,,,,,,,
02/15/2016,Provo,Diamond Fork,Natural,,,,,,6000,,,,,,,
02/15/2016,Salt Lake,No Name Bowl,Skier,New Snow/Old Snow Interface,"6""",150,700,Northeast,9400,"40.634741890336, -111.561516596800",,,,,,
02/15/2016,Logan,River Trail,Natural,Wet grains,unknown,30,200,North,5300,"41.741755756929, -111.765053324140",,,,,,
02/15/2016,Salt Lake,Squaretop,Skier,,2',50,250,East,9700,,,,,,,
02/15/2016,Logan,2nd Dam,Natural,Ground Interface,unknown,50,Unknown,North,Unknown,,,,,,,
02/15/2016,Logan,Dugway,Natural,Wet grains,"18""",25,400,West,6200,"41.825252491527, -111.598563125670",,,,,,
02/15/2016,Logan,Green canyon,Natural,,"12""",20,500,North,6200,"41.766310473037, -111.759678155690",,,,,,
02/13/2016,Skyline,Lake Canyon,Snowmobiler,Facets,2',500,400,Northeast,9900,"39.572337107867, -111.285195416930",,,,,,
02/13/2016,Skyline,Gooseberry,Unknown,Facets,2',60,125,Northeast,9800,"38.711631005662, -111.720118912780",,,,,,
02/13/2016,Moab,Moab,Snowboarder,Density Change,"11""",45,70,North,10900,"38.467188051709, -109.229164211460",,,,,,
02/13/2016,Skyline,Seeley Creek,Snowmobiler,Facets,"20""",400,500,East,10400,"39.515018781741, -111.302490279090",,,,,,
02/13/2016,Uintas,Co-op Creek,Snowmobiler,Ground Interface,2.5',250,250,Northeast,9800,,,,,,,
02-10-16,Salt Lake,Park City area mountians,Natural,,,,,South,7000,"40.741144368874, -111.576118506750",,,,,,
02-08-16,Logan,Valhalla Face,Natural,New Snow/Old Snow Interface,unknown,40,300,South,7500,"41.779359414195, -111.675267759380",,,,,,
02-08-16,Logan,Logan Dry (North Side),Natural,Wet grains,unknown,Unknown,800,South,7800,"41.724298202616, -111.744711443790",,,,,,
02-07-16,Salt Lake,The Tube,Natural,,,40,200,North,9300,,,,,,,
02-07-16,SE Idaho,Bear Lake,Natural,Depth Hoar,unknown,250,150,East,7100,"42.013717997369, -111.440227090780",,,,,,
02-07-16,Provo,Hobble Creek Left Fork,,,,,,,7800,,,,,,,
02-06-16,Skyline,Jolleys Hole,Snowmobiler,Facets,3',125,80,Northeast,,"39.278515947283, -111.482623480740",1,1,,,,
02-05-16,Salt Lake,Scotties Bowl,Skier,Density Change,"5""",35,20,North,9800,"40.562166662813, -111.673514909240",,,,,,
02-05-16,Uintas,Upper Weber Canyon,Skier,Facets,2.5',70,600,East,9200,,,,,,,
02-05-16,Salt Lake,Broads Fork,Natural,Ground Interface,unknown,50,800,Northeast,9500,"40.603510562560, -111.722266733110",,,,,,
02-03-16,Skyline,Chute Camp Site,Skier,Facets,"20""",100,600,Northeast,9000,"39.570212699594, -111.188163802040",1,1,1,,1,
02-02-16,Salt Lake,No Name Bowl,Skier,Facets,3',80,700,Northeast,9400,,,,,,,
02-02-16,Provo,Pioneer Peak,Natural,New Snow/Old Snow Interface,"18""",150,450,East,10200,"40.580340291123, -111.588456725720",,,,,,
02-01-16,Logan,Oscar Mayer,Natural,Depth Hoar,4',175,800,North,8900,"41.708526930919, -111.740570105860",,,,,,
02-01-16,Salt Lake,No Name Bowl,Natural,Facets,2',100,700,Northeast,9400,,,,,,,
02-01-16,Uintas,Upper Weber Canyon,Natural,Depth Hoar,2.5',50,400,Northeast,10500,,,,,,,
01/31/2016,Salt Lake,Pointy Peak,Skier,Facets,3',45,300,Northwest,9100,"40.681035109898, -111.598269411350",1,1,,1,,1
01/31/2016,Logan,Beaver Mountain Backside,Snowboarder,New Snow/Old Snow Interface,"7""",50,150,Northeast,8000,,,,,,,
01/30/2016,Moab,Gold Basin,Skier,,"9""",25,80,Northeast,10000,"38.455706533021, -109.261007368110",1,,,,,
01/30/2016,Logan,East Faces-Wellsville Range,Natural,New Snow/Old Snow Interface,unknown,Unknown,2250,East,9000,"41.675364062354, -112.013855003590",,,,,,
01/30/2016,Logan,Logan Dry Canyon,Snowshoer,New Snow/Old Snow Interface,"14""",15,50,Northwest,5600,"41.728714699372, -111.788249053320",1,1,,,,
01/30/2016,Logan,Mitton Peak,Natural,,,200,,North,,"41.608771941334, -111.992404203700",,,,,,
01/29/2016,Provo,Provo,Unknown,,,,,North,,,,,,,,
01/27/2016,Salt Lake,Brighton Perimeter,Snowboarder,,"8""",40,125,Northeast,9400,,1,,,,,
01/27/2016,Logan,Wildcat Bowl,Skier,New Snow/Old Snow Interface,"11""",40,400,East,8000,"41.823651268901, -111.669416465130",,,,,,
01/27/2016,Salt Lake,Gobblers Knob,,Facets,,175,1500,,9300,,,,,,,
01/27/2016,Uintas,Currant Creek,Snowmobiler,,10',125,400,Southwest,9500,"40.387724414320, -111.181002325510",1,1,,1,,
01/27/2016,Ogden,Ben Lomond,,,,,,,,"41.358063891235, -111.963901550090",,,,,,
01/26/2016,Skyline,Cove Creek,Snowmobiler,Facets,4',350,100,East,10200,"39.203378878150, -111.470933005220",,,,,,
01/26/2016,Salt Lake,Gobblers Knob,Natural,Facets,unknown,150,700,North,10000,,,,,,,
01/26/2016,Salt Lake,Wolverine Cirque,Natural,New Snow/Old Snow Interface,unknown,125,350,Northeast,10500,"40.586190127373, -111.607081963580",,,,,,
01/26/2016,Ogden,Snowbasin Backcountry,Snowboarder,,"8""",20,,Northeast,9300,,1,1,,,,
01/26/2016,Salt Lake,Argenta,Skier,Depth Hoar,4.5',30,600,Northwest,9800,,,,,,,
01/26/2016,Salt Lake,Holy Toledo,Skier,Facets,2.5',250,1000,Northwest,10300,,1,1,1,,1,
01/26/2016,Provo,Silver Creek,Natural,Facets,3',600,,Southwest,11000,"40.593021421000, -111.724476866150",,,,,,
01/26/2016,Salt Lake,Superior,Skier,New Snow/Old Snow Interface,"21""",80,250,,11000,,,,,,,
01/26/2016,Salt Lake,Davenport Hill,Skier,,"17""",70,400,North,10100,"40.599942702264, -111.621244063090",,1,,,,
01/26/2016,Salt Lake,Silver Fork Headwall,Skier,Depth Hoar,2.5',60,350,North,9900,"40.598655258081, -111.627777802090",,,,,,
01/25/2016,Uintas,Uintas,Snowmobiler,Depth Hoar,7',500,1000,North,9900,,,,,,,
01/25/2016,Salt Lake,Patsy Marly,Unknown,New Snow/Old Snow Interface,unknown,500,Unknown,Northeast,10300,"40.589547410415, -111.608004607530",,,,,,
01/25/2016,Salt Lake,West Monitor,Natural,New Snow,"15""",125,800,Northeast,10100,,,,,,,
01/25/2016,Salt Lake,Back Bowls,Natural,New Snow/Old Snow Interface,2.5',250,400,North,9800,"40.589220523639, -111.600537373560",,,,,,
01/25/2016,Uintas,Upper Weber Canyon,Natural,,2',,,Southeast,10500,,,,,,,
01/25/2016,Logan,Box Canyon Headwall,Natural,New Snow/Old Snow Interface,"14""",80,500,East,9500,"41.962738153070, -111.654288799090",,,,,,
01/24/2016,Salt Lake,Lambs,,,,,,,7500,,,,,,,
01/24/2016,Salt Lake,Dry Fork of AF,Skier,,"10""",80,250,Southeast,10500,"40.575467298683, -111.599464489970",,,,,,
01/24/2016,Skyline,BBQ Bowl,Natural,Facets,3',700,700,Northeast,10300,"39.508330769467, -111.318411871800",,,,,,
01/24/2016,Salt Lake,Elbow Fork,Natural,Facets,3',600,1500,Southwest,9700,"40.656990160730, -111.704295932700",,,,,,
01/24/2016,Salt Lake,Gobblers Knob,Natural,Facets,2',1000,1750,Southeast,9500,"40.664477253964, -111.681711739990",,,,,,
01/24/2016,Salt Lake,Mill A,Natural,Facets,unknown,800,1500,Northwest,9700,"40.670214219492, -111.689790567920",,,,,,
01/24/2016,Salt Lake,Wilson Chutes,Natural,Facets,unknown,Unknown,Unknown,Northeast,10000,,,,,,,
01/23/2016,Logan,Fairgrounds,Snowmobiler,Facets,2.5',300,450,Southeast,9300,"41.711395047619, -111.715422660710",,,,,,
01/22/2016,Salt Lake,Mill Creek Ridgeline,Natural,Density Change,unknown,20,200,Northeast,9000,,,,,,,
01/22/2016,Uintas,Uintas,Skier,,,,,North,8600,"40.573472818451, -111.058224025510",,,,,,
01/22/2016,Salt Lake,West Bowl,Unknown,Depth Hoar,,250,,North,9900,"40.599094434663, -111.625428244470",,,,,,
01/22/2016,Salt Lake,Upper Days,Skier,New Snow/Old Snow Interface,"2""",100,300,Northeast,10200,,,,,,,
01/21/2016,Provo,Provo Peak,Explosive,,,,,East,10600,,,,,,,
01/21/2016,Provo,Provo,Explosive,,,1000,,,,,,,,,,
01/21/2016,Provo,Cascade Ridge line,Snowmobiler,Facets,"21""",200,250,East,10100,"40.264430377878, -111.542279822500",,,,,,
01/21/2016,Skyline,Jolleys Hole,Snowmobiler,Facets,4',,,Northeast,10200,"39.285272404907, -111.458702132110",,,,,,
01/21/2016,Skyline,Niotche Creek,,,4',200,40,Northeast,9800,"38.741760868864, -111.648194827410",,,,,,
01/21/2016,Salt Lake,Gobblers Knob,Skier,Facets,"18""",600,1250,South,10000,"40.666951474815, -111.685399884810",2,2,1,1,1,1
01/21/2016,Provo,Three Temptations,Snowmobiler,Facets,"18""",150,,South,8600,"40.504007606192, -111.677865674310",,,,,,
01/21/2016,Logan,South Hollow,Snowmobiler,Facets,3',600,600,Southeast,8800,"41.699235243736, -111.691775359480",,,,,,
01/21/2016,Logan,Rodeo Grounds,Snowmobiler,Facets,4',50,200,East,9500,"41.712769816247, -111.714799434460",1,1,1,,,
01/21/2016,Logan,Rodeo Grounds,Snow Bike,Depth Hoar,4.5',70,Unknown,East,9400,"41.712032997721, -111.715443179000",,,,,,
01/21/2016,SE Idaho,Worm Creek,Natural,,"2""",1/4 mile,200,Southeast,,"42.141258635999, -111.560883566740",,,,,,
01/20/2016,Salt Lake,Limber Pine,,,,,,,,,,,,,,
01/20/2016,Salt Lake,Grizzly Gulch,Skier,New Snow,"8""",90,50,,9400,"40.594663780025, -111.615428983610",,,,,,
01/20/2016,Salt Lake,Catchers Mit,Natural,Density Change,"12""",175,Unknown,Northeast,9900,"40.623573378365, -111.667442366470",,,,,,
01/20/2016,Salt Lake,Cardiac Ridge,Natural,,unknown,150,900,Northeast,10600,,,,,,,
01/20/2016,Salt Lake,West Monitor,Natural,Facets,3',700,800,Northeast,10000,"40.638164441728, -111.575775191180",,,,,,
01/20/2016,Salt Lake,Porter Fork,Natural,,,50,Unknown,East,10100,"40.656138331622, -111.700573012230",,,,,,
01/20/2016,Salt Lake,Cardiac Bowl,Natural,,2',400,900,Northeast,10900,,,,,,,
01/20/2016,Salt Lake,South Monitor Bowl,Natural,Facets,unknown,70,200,North,9800,"40.632562892675, -111.574487730860",,,,,,
01/20/2016,Salt Lake,Kessler Peak,Natural,Facets,unknown,Unknown,1500,East,10100,,,,,,,
01/20/2016,Salt Lake,west porter,Skier,New Snow,unknown,Unknown,500,North,9000,,,,,,,
01/20/2016,Salt Lake,No Name Bowl,Natural,Facets,"14""",600,700,Northeast,9400,,,,,,,
01/20/2016,Logan,Ham Hollow,Natural,Facets,unknown,600,1250,South,8600,"41.822462985969, -111.677548930050",,,,,,
01/20/2016,Salt Lake,Reynolds Pk,Skier,Density Change,"13""",400,700,East,9200,"40.664102114784, -111.643753096450",,,,,,
01/20/2016,Salt Lake,Scotts Peak,Natural,Facets,2',175,800,Northeast,10000,,,,,,,
01/20/2016,Salt Lake,West Monitor,Natural,,,,,,10000,,,,,,,
01/20/2016,Salt Lake,Monte Cristo,Explosive,,5.5',,,Southeast,11000,,,,,,,
01/20/2016,Salt Lake,West Desolation Ridge,Natural,,,1/2 mile,,Northeast,9600,,,,,,,
01/20/2016,Salt Lake,Limber Pine,Natural,,3.5',,,South,,,,,,,,
01/20/2016,Salt Lake,Cinder Chutes,Skier,,,,,Northeast,9400,,,,,,,
01/20/2016,Salt Lake,Jedediah,Explosive,,,,,,,,,,,,,
01/20/2016,Salt Lake,Meadows,Skier,Facets,"8""",200,200,East,8700,"40.620866740213, -111.620050640930",,,,,,
01/20/2016,Salt Lake,Home Run,Natural,,,,,Northeast,9300,,,,,,,
01/20/2016,Logan,Old Logway,Natural,,unknown,Unknown,2250,East,Unknown,"41.676473940088, -112.011537575000",,,,,,
01/20/2016,Salt Lake,Little Cottonwood Canyon,Skier,,"16""",30,30,North,8500,"40.587400554611, -111.644868902600",1,1,1,,,
01/20/2016,Uintas,Uintas,Skier,New Snow,"6""",25,100,Northeast,10000,"40.677380047031, -111.161910368930",,,,,,
01/20/2016,Provo,Provo Peak,Natural,,,,,East,10000,,,,,,,
01/20/2016,Salt Lake,Mineral Fork,Natural,Facets,"10""",300,400,East,9000,,,,,,,
01/20/2016,Skyline,Chute Camp Site,Natural,Facets,2.5',125,700,Northeast,8500,"39.569069331631, -111.184966616090",,,,,,
01/19/2016,Salt Lake,Scotties Bowl,Snowboarder,New Snow/Old Snow Interface,"12""",60,60,Northwest,9100,,1,1,,,,
01/19/2016,Logan,"Tony Grove Lake, North",Skier,Facets,3',100,300,Southeast,8500,"41.899835527412, -111.646499678500",,,,,,
01/19/2016,Logan,South Face of Steam Mill,Snowmobiler,Facets,2.5',175,250,South,8500,"41.947206585896, -111.622209586460",1,,,,,
01/19/2016,Salt Lake,Two Dogs,Snowboarder,Depth Hoar,"18""",100,300,North,,"40.600320709030, -111.643152317560",,,,,,
01/19/2016,Logan,Bullen Hole Peak,Natural,Facets,4',Unknown,Unknown,East,9600,"41.931131473561, -111.669673964370",,,,,,
01/19/2016,Salt Lake,MacDonalds Draw,Skier,,2.5',100,,Northeast,9600,,1,1,,,,
01/19/2016,Salt Lake,Park City Ridgeline,Skier,,"20""",70,,Northeast,9600,,,,,,,
01/19/2016,Provo,Big Springs,Skier,Facets,"18""",250,500,East,9700,"40.276978465006, -111.541657499690",,,,,,
01/19/2016,Salt Lake,Days Draw,Skier,Facets,2',80,450,Northeast,9900,"40.614256052858, -111.644716138480",,,,,,
01/19/2016,Salt Lake,Twin Lakes Pass,Unknown,Facets,2',60,150,Northeast,10300,,,,,,,
01/19/2016,Logan,Christmas Tree Bowl,Snowmobiler,Facets,4',600,600,East,9700,"41.918558050498, -111.674673594790",,,,,,
01/19/2016,Logan,White Pine Lake,Snowmobiler,Facets,2',150,600,South,9000,"41.926901041781, -111.657571851670",,,,,,
01/18/2016,Skyline,Rolfson,Snowmobiler,Facets,,,,Northeast,9800,"39.552519324021, -111.298799573860",,,,,,
01/18/2016,Logan,"Providence Peak, East Face",Unknown,New Snow,"15""",70,350,East,9200,,,,,,,
01/18/2016,Salt Lake,Banana Days,Natural,Facets,2',150,1000,East,10100,,,,,,,
01/18/2016,Salt Lake,No Name Bowl,Unknown,Facets,2',30,600,North,9400,,,,,,,
01/18/2016,Salt Lake,Gobblers Knob,Natural,Facets,unknown,Unknown,Unknown,Northeast,10000,"40.667096934885, -111.683192297810",,,,,,
01/18/2016,Provo,Major Evans,Natural,Facets,"18""",200,500,East,9500,"40.532217583793, -111.648173398470",,,,,,
01/18/2016,Salt Lake,Wilson Glade,Skier,Ground Interface,unknown,150,300,Northeast,9700,"40.676008530042, -111.671884176460",,,,,,
01/17/2016,Salt Lake,Rocky Point,Skier,Facets,4',100,350,East,10400,,,,,,,
01/17/2016,Logan,Beaver Mountain Backside,Skier,New Snow/Old Snow Interface,"15""",30,50,Northeast,6900,"41.954360985063, -111.543738893900",,,,,,
01/17/2016,Provo,Ant Knolls,Snowmobiler,New Snow/Old Snow Interface,2',400,500,Northeast,9500,,,1,,,,
