STATION,DATE,AWND,WSFI
GHCND:USS0011J69S,20061028,3.58,6.5
GHCND:USS0011J69S,20061029,3.13,7.6
GHCND:USS0011J69S,20061030,2.24,10.3
GHCND:USS0011J69S,20061031,2.68,12.5
GHCND:USS0011J69S,20061101,2.68,6.0
GHCND:USS0011J69S,20061102,2.24,6.7
GHCND:USS0011J69S,20061103,2.01,6.9
GHCND:USS0011J69S,20061104,1.79,6.5
GHCND:USS0011J69S,20061105,2.24,8.1
GHCND:USS0011J69S,20061106,2.46,8.3
GHCND:USS0011J69S,20061107,2.68,7.8
GHCND:USS0011J69S,20061108,2.91,13.0
GHCND:USS0011J69S,20061109,2.24,13.4
GHCND:USS0011J69S,20061110,1.79,8.3
GHCND:USS0011J69S,20061111,2.91,15.7
GHCND:USS0011J69S,20061112,1.79,12.3
GHCND:USS0011J69S,20061113,3.13,16.6
GHCND:USS0011J69S,20061114,0.89,17.7
GHCND:USS0011J69S,20061115,0.00,3.1
GHCND:USS0011J69S,20061116,1.79,6.9
GHCND:USS0011J69S,20061117,2.68,6.3
GHCND:USS0011J69S,20061118,2.46,8.3
GHCND:USS0011J69S,20061119,3.13,8.5
GHCND:USS0011J69S,20061120,3.13,6.7
GHCND:USS0011J69S,20061121,2.91,11.0
GHCND:USS0011J69S,20061122,2.91,9.6
GHCND:USS0011J69S,20061123,3.58,17.7
GHCND:USS0011J69S,20061124,2.91,7.8
GHCND:USS0011J69S,20061125,2.68,6.0
GHCND:USS0011J69S,20061126,2.91,8.7
GHCND:USS0011J69S,20061127,3.80,22.1
GHCND:USS0011J69S,20061128,2.01,12.3
GHCND:USS0011J69S,20061129,2.01,6.9
GHCND:USS0011J69S,20061130,1.79,5.8
GHCND:USS0011J69S,20061201,1.79,12.1
GHCND:USS0011J69S,20061202,2.24,5.8
GHCND:USS0011J69S,20061203,2.91,6.0
GHCND:USS0011J69S,20061204,3.80,5.6
GHCND:USS0011J69S,20061205,3.36,5.6
GHCND:USS0011J69S,20061206,3.13,5.4
GHCND:USS0011J69S,20061207,3.13,5.4
GHCND:USS0011J69S,20061208,3.58,5.6
GHCND:USS0011J69S,20061209,2.68,7.8
GHCND:USS0011J69S,20061210,2.01,9.2
GHCND:USS0011J69S,20061211,2.24,10.3
GHCND:USS0011J69S,20061212,0.67,5.6
GHCND:USS0011J69S,20061213,0.45,5.6
GHCND:USS0011J69S,20061214,1.57,7.6
GHCND:USS0011J69S,20061215,2.91,14.3
GHCND:USS0011J69S,20061216,1.79,17.0
GHCND:USS0011J69S,20061217,2.91,15.9
GHCND:USS0011J69S,20061218,2.24,11.9
GHCND:USS0011J69S,20061219,2.46,11.6
GHCND:USS0011J69S,20061220,2.24,6.0
GHCND:USS0011J69S,20061221,2.46,4.7
GHCND:USS0011J69S,20061222,1.57,8.3
GHCND:USS0011J69S,20061223,2.01,24.4
GHCND:USS0011J69S,20061224,2.46,11.4
GHCND:USS0011J69S,20061225,2.91,5.4
GHCND:USS0011J69S,20061226,2.24,15.2
GHCND:USS0011J69S,20061227,0.67,14.8
GHCND:USS0011J69S,20061228,0.00,0.0
GHCND:USS0011J69S,20061229,0.89,15.2
GHCND:USS0011J69S,20061230,2.46,5.6
GHCND:USS0011J69S,20061231,2.24,8.5
GHCND:USS0011J69S,20070101,1.57,8.3
GHCND:USS0011J69S,20070102,2.24,8.7
GHCND:USS0011J69S,20070103,2.01,11.4
GHCND:USS0011J69S,20070104,2.01,11.9
GHCND:USS0011J69S,20070105,1.79,8.5
GHCND:USS0011J69S,20070106,3.36,18.6
GHCND:USS0011J69S,20070107,2.46,10.3
GHCND:USS0011J69S,20070108,2.91,11.6
GHCND:USS0011J69S,20070109,2.91,7.6
GHCND:USS0011J69S,20070110,2.46,14.1
GHCND:USS0011J69S,20070111,2.46,17.7
GHCND:USS0011J69S,20070113,2.46,11.9
GHCND:USS0011J69S,20070114,2.46,4.5
GHCND:USS0011J69S,20070115,2.46,4.7
GHCND:USS0011J69S,20070116,2.24,4.7
GHCND:USS0011J69S,20070124,1.79,4.7
GHCND:USS0011J69S,20070125,2.91,4.9
GHCND:USS0011J69S,20070126,2.68,4.9
GHCND:USS0011J69S,20070127,2.46,9.6
GHCND:USS0011J69S,20070128,2.68,7.6
GHCND:USS0011J69S,20070129,2.68,5.1
GHCND:USS0011J69S,20070130,2.24,6.0
GHCND:USS0011J69S,20070131,1.79,11.2
GHCND:USS0011J69S,20070201,1.79,9.2
GHCND:USS0011J69S,20070202,2.46,12.5
GHCND:USS0011J69S,20070203,2.46,10.3
GHCND:USS0011J69S,20070204,2.46,11.6
GHCND:USS0011J69S,20070205,2.91,6.0
GHCND:USS0011J69S,20070206,2.91,9.6
GHCND:USS0011J69S,20070207,2.91,8.7
GHCND:USS0011J69S,20070208,2.91,14.1
GHCND:USS0011J69S,20070209,2.46,8.7
GHCND:USS0011J69S,20070210,2.24,11.6
GHCND:USS0011J69S,20070211,1.12,12.1
GHCND:USS0011J69S,20070212,0.89,6.7
GHCND:USS0011J69S,20070213,1.79,9.6
GHCND:USS0011J69S,20070214,2.68,11.9
GHCND:USS0011J69S,20070215,1.79,10.7
GHCND:USS0011J69S,20070216,2.91,20.8
GHCND:USS0011J69S,20070217,2.46,6.7
GHCND:USS0011J69S,20070218,3.58,17.0
GHCND:USS0011J69S,20070219,2.01,9.8
GHCND:USS0011J69S,20070220,2.24,5.8
GHCND:USS0011J69S,20070221,2.46,9.4
GHCND:USS0011J69S,20070222,3.13,15.0
GHCND:USS0011J69S,20070223,3.36,14.1
GHCND:USS0011J69S,20070224,2.24,7.6
GHCND:USS0011J69S,20070225,2.01,13.0
GHCND:USS0011J69S,20070226,2.24,10.1
GHCND:USS0011J69S,20070227,3.36,16.8
GHCND:USS0011J69S,20070228,2.68,13.2
GHCND:USS0011J69S,20070301,4.70,15.9
GHCND:USS0011J69S,20070302,3.36,15.9
GHCND:USS0011J69S,20070303,2.68,7.6
GHCND:USS0011J69S,20070304,2.24,8.1
GHCND:USS0011J69S,20070305,2.68,7.2
GHCND:USS0011J69S,20070306,2.91,7.2
GHCND:USS0011J69S,20070307,2.91,10.3
GHCND:USS0011J69S,20070308,2.24,14.1
GHCND:USS0011J69S,20070309,2.91,12.8
GHCND:USS0011J69S,20070310,2.24,13.0
GHCND:USS0011J69S,20070311,2.46,7.6
GHCND:USS0011J69S,20070312,2.91,5.6
GHCND:USS0011J69S,20070313,3.36,11.4
GHCND:USS0011J69S,20070314,2.91,10.7
GHCND:USS0011J69S,20070315,2.68,8.7
GHCND:USS0011J69S,20070316,3.36,8.5
GHCND:USS0011J69S,20070317,3.58,8.7
GHCND:USS0011J69S,20070318,3.36,10.3
GHCND:USS0011J69S,20070319,2.91,10.7
GHCND:USS0011J69S,20070320,2.91,12.5
GHCND:USS0011J69S,20070321,1.79,11.2
GHCND:USS0011J69S,20070322,2.01,8.5
GHCND:USS0011J69S,20070323,2.68,12.3
GHCND:USS0011J69S,20070324,2.68,11.4
GHCND:USS0011J69S,20070325,3.36,14.3
GHCND:USS0011J69S,20070326,2.91,10.7
GHCND:USS0011J69S,20070327,2.01,13.9
GHCND:USS0011J69S,20070328,0.89,9.8
GHCND:USS0011J69S,20070329,2.46,12.5
GHCND:USS0011J69S,20070330,2.01,8.3
GHCND:USS0011J69S,20070331,3.13,13.2
GHCND:USS0011J69S,20070401,2.91,15.4
GHCND:USS0011J69S,20070402,3.13,14.3
GHCND:USS0011J69S,20070403,2.91,8.5
GHCND:USS0011J69S,20070404,2.91,11.2
GHCND:USS0011J69S,20070405,2.91,10.7
GHCND:USS0011J69S,20070406,3.13,11.4
GHCND:USS0011J69S,20070407,2.91,12.3
GHCND:USS0011J69S,20070408,2.91,18.3
GHCND:USS0011J69S,20070409,3.58,20.8
GHCND:USS0011J69S,20070410,4.92,25.5
GHCND:USS0011J69S,20070411,2.01,10.3
GHCND:USS0011J69S,20070412,2.24,12.1
GHCND:USS0011J69S,20070413,2.91,11.9
GHCND:USS0011J69S,20070414,3.13,11.4
GHCND:USS0011J69S,20070415,2.91,14.3
GHCND:USS0011J69S,20070416,2.24,11.6
GHCND:USS0011J69S,20070417,3.13,11.6
GHCND:USS0011J69S,20070418,3.80,23.5
GHCND:USS0011J69S,20070419,2.46,18.1
GHCND:USS0011J69S,20070420,1.57,6.7
GHCND:USS0011J69S,20070421,2.01,9.2
GHCND:USS0011J69S,20070422,1.79,12.5
GHCND:USS0011J69S,20070423,1.57,12.1
GHCND:USS0011J69S,20070424,2.46,11.6
GHCND:USS0011J69S,20070425,2.91,11.4
GHCND:USS0011J69S,20070426,2.91,13.0
GHCND:USS0011J69S,20070427,3.13,13.4
GHCND:USS0011J69S,20070428,3.36,9.2
GHCND:USS0011J69S,20070429,3.80,12.5
GHCND:USS0011J69S,20070430,3.13,9.2
GHCND:USS0011J69S,20070501,3.36,18.6
GHCND:USS0011J69S,20070502,3.58,19.2
GHCND:USS0011J69S,20070503,2.46,13.2
GHCND:USS0011J69S,20070504,1.57,10.7
GHCND:USS0011J69S,20070505,1.79,12.3
GHCND:USS0011J69S,20070506,2.01,12.8
GHCND:USS0011J69S,20070507,3.13,11.0
GHCND:USS0011J69S,20070508,3.13,8.5
GHCND:USS0011J69S,20070509,3.36,12.3
GHCND:USS0011J69S,20070510,3.80,15.4
GHCND:USS0011J69S,20070511,3.80,18.3
GHCND:USS0011J69S,20070512,3.80,17.9
GHCND:USS0011J69S,20070513,3.58,16.1
GHCND:USS0011J69S,20070514,2.91,9.6
GHCND:USS0011J69S,20070515,2.91,10.3
GHCND:USS0011J69S,20070516,2.91,9.6
GHCND:USS0011J69S,20070517,2.91,16.1
GHCND:USS0011J69S,20070518,3.13,13.9
GHCND:USS0011J69S,20070519,3.36,17.9
GHCND:USS0011J69S,20070520,3.13,17.2
GHCND:USS0011J69S,20070521,1.79,12.1
GHCND:USS0011J69S,20070522,2.68,11.9
GHCND:USS0011J69S,20070523,2.68,11.6
GHCND:USS0011J69S,20070524,3.13,14.8
GHCND:USS0011J69S,20070525,3.36,13.2
GHCND:USS0011J69S,20070526,2.91,10.3
GHCND:USS0011J69S,20070527,3.36,15.2
GHCND:USS0011J69S,20070528,2.68,16.1
GHCND:USS0011J69S,20070529,3.36,12.3
GHCND:USS0011J69S,20070530,3.13,11.4
GHCND:USS0011J69S,20070531,3.36,13.4
GHCND:USS0011J69S,20070601,3.36,10.7
GHCND:USS0011J69S,20070602,2.91,8.7
GHCND:USS0011J69S,20070603,2.46,13.0
GHCND:USS0011J69S,20070604,2.68,8.5
GHCND:USS0011J69S,20070605,3.13,15.2
GHCND:USS0011J69S,20070606,4.25,17.9
GHCND:USS0011J69S,20070607,2.24,12.5
GHCND:USS0011J69S,20070608,2.46,9.6
GHCND:USS0011J69S,20070609,3.13,10.1
GHCND:USS0011J69S,20070610,3.80,16.3
GHCND:USS0011J69S,20070611,2.68,8.7
GHCND:USS0011J69S,20070612,2.68,11.2
GHCND:USS0011J69S,20070613,2.91,10.3
GHCND:USS0011J69S,20070614,3.13,10.5
GHCND:USS0011J69S,20070615,2.91,8.1
GHCND:USS0011J69S,20070616,3.58,18.1
GHCND:USS0011J69S,20070617,3.36,17.0
GHCND:USS0011J69S,20070618,3.13,7.8
GHCND:USS0011J69S,20070619,3.13,8.7
GHCND:USS0011J69S,20070620,3.36,12.1
GHCND:USS0011J69S,20070621,3.13,9.6
GHCND:USS0011J69S,20070622,2.91,10.5
GHCND:USS0011J69S,20070623,3.13,7.2
GHCND:USS0011J69S,20070624,2.91,9.6
GHCND:USS0011J69S,20070625,2.91,8.5
GHCND:USS0011J69S,20070626,2.68,9.6
GHCND:USS0011J69S,20070627,3.36,10.7
GHCND:USS0011J69S,20070628,3.36,14.1
GHCND:USS0011J69S,20070629,3.58,13.6
GHCND:USS0011J69S,20070630,3.36,8.5
GHCND:USS0011J69S,20070701,2.91,7.6
GHCND:USS0011J69S,20070702,2.91,9.6
GHCND:USS0011J69S,20070703,2.91,9.6
GHCND:USS0011J69S,20070704,2.91,10.5
GHCND:USS0011J69S,20070705,2.01,10.5
GHCND:USS0011J69S,20070706,2.24,8.3
GHCND:USS0011J69S,20070707,2.91,15.9
GHCND:USS0011J69S,20070708,2.91,11.2
GHCND:USS0011J69S,20070709,2.91,8.7
GHCND:USS0011J69S,20070710,2.91,7.6
GHCND:USS0011J69S,20070711,2.24,8.9
GHCND:USS0011J69S,20070712,2.01,12.1
GHCND:USS0011J69S,20070713,2.68,11.2
GHCND:USS0011J69S,20070714,2.91,10.7
GHCND:USS0011J69S,20070715,2.91,11.4
GHCND:USS0011J69S,20070716,2.68,14.5
GHCND:USS0011J69S,20070717,2.01,11.2
GHCND:USS0011J69S,20070718,3.13,13.2
GHCND:USS0011J69S,20070719,3.58,12.1
GHCND:USS0011J69S,20070720,3.36,14.3
GHCND:USS0011J69S,20070721,3.13,11.2
GHCND:USS0011J69S,20070722,2.68,10.3
GHCND:USS0011J69S,20070723,2.91,10.3
GHCND:USS0011J69S,20070724,1.79,11.2
GHCND:USS0011J69S,20070725,1.79,8.7
GHCND:USS0011J69S,20070726,2.01,7.8
GHCND:USS0011J69S,20070727,2.68,9.2
GHCND:USS0011J69S,20070728,2.91,9.2
GHCND:USS0011J69S,20070729,2.68,7.6
GHCND:USS0011J69S,20070730,2.68,8.9
GHCND:USS0011J69S,20070731,2.68,9.2
GHCND:USS0011J69S,20070801,2.46,13.4
GHCND:USS0011J69S,20070802,1.79,10.3
GHCND:USS0011J69S,20070803,2.68,11.6
GHCND:USS0011J69S,20070804,2.68,14.3
GHCND:USS0011J69S,20070805,2.68,15.7
GHCND:USS0011J69S,20070806,3.58,13.9
GHCND:USS0011J69S,20070807,3.36,13.4
GHCND:USS0011J69S,20070808,3.13,13.4
GHCND:USS0011J69S,20070809,3.80,15.0
GHCND:USS0011J69S,20070810,4.03,19.7
GHCND:USS0011J69S,20070811,3.80,15.2
GHCND:USS0011J69S,20070812,3.58,14.5
GHCND:USS0011J69S,20070813,3.36,16.8
GHCND:USS0011J69S,20070814,2.91,12.8
GHCND:USS0011J69S,20070815,2.91,13.0
GHCND:USS0011J69S,20070816,2.91,11.6
GHCND:USS0011J69S,20070817,2.46,18.8
GHCND:USS0011J69S,20070818,2.24,10.7
GHCND:USS0011J69S,20070819,3.58,16.1
GHCND:USS0011J69S,20070820,3.36,9.8
GHCND:USS0011J69S,20070821,3.36,9.8
GHCND:USS0011J69S,20070822,2.46,9.2
GHCND:USS0011J69S,20070823,2.91,10.7
GHCND:USS0011J69S,20070824,3.36,12.3
GHCND:USS0011J69S,20070825,3.36,10.1
GHCND:USS0011J69S,20070826,2.46,9.4
GHCND:USS0011J69S,20070827,2.68,10.1
GHCND:USS0011J69S,20070828,3.13,10.1
GHCND:USS0011J69S,20070829,3.13,10.1
GHCND:USS0011J69S,20070830,3.13,12.1
GHCND:USS0011J69S,20070831,2.91,11.9
GHCND:USS0011J69S,20070901,3.13,9.2
GHCND:USS0011J69S,20070902,2.24,13.2
GHCND:USS0011J69S,20070903,3.13,15.7
GHCND:USS0011J69S,20070904,2.91,20.6
GHCND:USS0011J69S,20070905,1.79,14.1
GHCND:USS0011J69S,20070906,2.68,10.3
GHCND:USS0011J69S,20070907,2.91,11.9
GHCND:USS0011J69S,20070908,3.13,8.3
GHCND:USS0011J69S,20070909,2.91,11.9
GHCND:USS0011J69S,20070910,2.68,8.1
GHCND:USS0011J69S,20070911,3.13,8.7
GHCND:USS0011J69S,20070912,3.36,13.6
GHCND:USS0011J69S,20070913,3.13,10.5
GHCND:USS0011J69S,20070914,3.58,16.1
GHCND:USS0011J69S,20070915,3.80,13.4
GHCND:USS0011J69S,20070916,3.80,16.6
GHCND:USS0011J69S,20070917,3.36,12.3
GHCND:USS0011J69S,20070918,3.13,12.5
GHCND:USS0011J69S,20070919,3.58,15.0
GHCND:USS0011J69S,20070920,3.80,15.7
GHCND:USS0011J69S,20070921,3.13,10.7
GHCND:USS0011J69S,20070922,2.46,15.9
GHCND:USS0011J69S,20070923,2.68,15.7
GHCND:USS0011J69S,20070924,1.57,13.0
GHCND:USS0011J69S,20070925,2.46,9.2
GHCND:USS0011J69S,20070926,2.91,10.1
GHCND:USS0011J69S,20070927,2.91,8.7
GHCND:USS0011J69S,20070928,3.58,15.4
GHCND:USS0011J69S,20070929,3.13,14.1
GHCND:USS0011J69S,20070930,2.46,6.9
GHCND:USS0011J69S,20071001,3.36,15.9
GHCND:USS0011J69S,20071002,2.24,8.3
GHCND:USS0011J69S,20071003,4.25,19.5
GHCND:USS0011J69S,20071004,4.03,15.9
GHCND:USS0011J69S,20071005,2.24,13.2
GHCND:USS0011J69S,20071006,2.68,12.5
GHCND:USS0011J69S,20071007,1.34,6.7
GHCND:USS0011J69S,20071008,2.91,6.3
GHCND:USS0011J69S,20071009,2.68,11.0
GHCND:USS0011J69S,20071010,3.58,18.8
GHCND:USS0011J69S,20071011,2.46,7.2
GHCND:USS0011J69S,20071012,2.68,9.4
GHCND:USS0011J69S,20071013,1.57,6.9
GHCND:USS0011J69S,20071014,2.01,7.4
GHCND:USS0011J69S,20071015,2.91,8.1
GHCND:USS0011J69S,20071016,2.46,14.1
GHCND:USS0011J69S,20071017,3.13,20.1
GHCND:USS0011J69S,20071018,1.79,11.6
GHCND:USS0011J69S,20071019,3.36,16.1
GHCND:USS0011J69S,20071020,2.91,16.3
GHCND:USS0011J69S,20071021,2.01,18.6
GHCND:USS0011J69S,20071022,2.24,6.3
GHCND:USS0011J69S,20071023,2.91,5.6
GHCND:USS0011J69S,20071024,3.36,5.8
GHCND:USS0011J69S,20071025,3.58,8.7
GHCND:USS0011J69S,20071026,2.91,8.1
GHCND:USS0011J69S,20071027,2.91,5.6
GHCND:USS0011J69S,20071028,3.13,5.8
GHCND:USS0011J69S,20071029,2.91,9.6
GHCND:USS0011J69S,20071030,2.24,12.3
GHCND:USS0011J69S,20071031,2.24,7.8
GHCND:USS0011J69S,20071101,2.68,7.8
GHCND:USS0011J69S,20071102,2.68,6.7
GHCND:USS0011J69S,20071103,2.91,6.7
GHCND:USS0011J69S,20071104,3.13,5.4
GHCND:USS0011J69S,20071105,3.36,6.7
GHCND:USS0011J69S,20071106,3.36,6.7
GHCND:USS0011J69S,20071107,3.36,7.4
GHCND:USS0011J69S,20071108,3.36,5.4
GHCND:USS0011J69S,20071109,2.91,9.6
GHCND:USS0011J69S,20071110,2.68,11.0
GHCND:USS0011J69S,20071111,1.57,11.2
GHCND:USS0011J69S,20071112,1.79,5.8
GHCND:USS0011J69S,20071113,2.68,16.3
GHCND:USS0011J69S,20071114,2.24,7.2
GHCND:USS0011J69S,20071115,3.13,7.6
GHCND:USS0011J69S,20071116,2.91,8.1
GHCND:USS0011J69S,20071117,2.68,11.4
GHCND:USS0011J69S,20071118,2.91,11.0
GHCND:USS0011J69S,20071119,3.36,17.7
GHCND:USS0011J69S,20071120,2.46,11.6
GHCND:USS0011J69S,20071121,2.01,7.4
GHCND:USS0011J69S,20071122,1.79,11.2
GHCND:USS0011J69S,20071123,2.24,11.9
GHCND:USS0011J69S,20071124,2.68,5.1
GHCND:USS0011J69S,20071125,2.68,8.9
GHCND:USS0011J69S,20071126,2.24,5.1
GHCND:USS0011J69S,20071127,2.91,16.3
GHCND:USS0011J69S,20071128,2.01,10.1
GHCND:USS0011J69S,20071129,2.01,6.7
GHCND:USS0011J69S,20071130,2.68,13.0
GHCND:USS0011J69S,20071201,1.57,9.4
GHCND:USS0011J69S,20071202,2.24,6.0
GHCND:USS0011J69S,20071203,3.36,7.4
GHCND:USS0011J69S,20071204,2.68,13.6
GHCND:USS0011J69S,20071205,1.79,5.6
GHCND:USS0011J69S,20071206,0.89,8.3
GHCND:USS0011J69S,20071207,0.45,7.8
GHCND:USS0011J69S,20071208,1.57,12.1
GHCND:USS0011J69S,20071209,1.12,6.9
GHCND:USS0011J69S,20071210,1.34,14.8
GHCND:USS0011J69S,20071211,2.68,16.1
GHCND:USS0011J69S,20071212,2.01,6.0
GHCND:USS0011J69S,20071213,1.79,6.7
GHCND:USS0011J69S,20071214,1.57,6.0
GHCND:USS0011J69S,20071215,2.01,6.3
GHCND:USS0011J69S,20071216,2.46,6.7
GHCND:USS0011J69S,20071217,2.46,10.7
GHCND:USS0011J69S,20071218,2.46,10.5
GHCND:USS0011J69S,20071219,2.01,8.9
GHCND:USS0011J69S,20071220,2.46,19.0
GHCND:USS0011J69S,20071221,2.68,14.1
GHCND:USS0011J69S,20071222,1.79,5.6
GHCND:USS0011J69S,20071223,1.79,12.8
GHCND:USS0011J69S,20071224,2.68,18.6
GHCND:USS0011J69S,20071225,2.68,11.0
GHCND:USS0011J69S,20071226,2.24,12.8
GHCND:USS0011J69S,20071227,2.46,8.5
GHCND:USS0011J69S,20071228,1.34,6.0
GHCND:USS0011J69S,20071229,0.89,9.6
GHCND:USS0011J69S,20071230,3.80,17.0
GHCND:USS0011J69S,20071231,2.91,13.2
GHCND:USS0011J69S,20080101,2.91,5.8
GHCND:USS0011J69S,20080102,3.13,6.5
GHCND:USS0011J69S,20080103,2.91,10.5
GHCND:USS0011J69S,20080104,3.58,15.7
GHCND:USS0011J69S,20080105,4.25,23.5
GHCND:USS0011J69S,20080106,3.80,16.1
GHCND:USS0011J69S,20080107,2.24,7.6
GHCND:USS0011J69S,20080108,1.79,10.3
GHCND:USS0011J69S,20080109,3.13,17.4
GHCND:USS0011J69S,20080110,1.79,5.6
GHCND:USS0011J69S,20080111,3.13,16.1
GHCND:USS0011J69S,20080112,1.34,6.3
GHCND:USS0011J69S,20080113,1.79,6.5
GHCND:USS0011J69S,20080114,2.68,6.9
GHCND:USS0011J69S,20080115,3.36,17.9
GHCND:USS0011J69S,20080116,2.46,7.8
GHCND:USS0011J69S,20080117,1.57,6.7
GHCND:USS0011J69S,20080118,1.34,6.7
GHCND:USS0011J69S,20080119,1.57,5.6
GHCND:USS0011J69S,20080120,1.79,10.3
GHCND:USS0011J69S,20080121,2.24,8.5
GHCND:USS0011J69S,20080122,2.01,7.2
GHCND:USS0011J69S,20080123,2.68,6.0
GHCND:USS0011J69S,20080124,2.01,11.4
GHCND:USS0011J69S,20080125,2.24,11.4
GHCND:USS0011J69S,20080126,2.46,8.7
GHCND:USS0011J69S,20080127,4.47,26.2
GHCND:USS0011J69S,20080128,6.04,24.6
GHCND:USS0011J69S,20080129,2.46,16.3
GHCND:USS0011J69S,20080130,3.58,18.3
GHCND:USS0011J69S,20080131,1.79,15.0
GHCND:USS0011J69S,20080201,2.91,11.0
GHCND:USS0011J69S,20080202,2.46,11.2
GHCND:USS0011J69S,20080203,3.80,20.8
GHCND:USS0011J69S,20080204,2.91,13.6
GHCND:USS0011J69S,20080205,2.91,8.9
GHCND:USS0011J69S,20080206,2.46,13.6
GHCND:USS0011J69S,20080207,3.13,25.7
GHCND:USS0011J69S,20080208,2.46,13.0
GHCND:USS0011J69S,20080209,2.68,9.6
GHCND:USS0011J69S,20080210,2.46,6.0
GHCND:USS0011J69S,20080211,3.13,16.6
GHCND:USS0011J69S,20080212,2.46,7.6
GHCND:USS0011J69S,20080213,2.68,12.5
GHCND:USS0011J69S,20080214,3.58,24.6
GHCND:USS0011J69S,20080215,2.68,8.7
GHCND:USS0011J69S,20080216,2.68,12.3
GHCND:USS0011J69S,20080217,2.68,11.9
